subject,predicate,object,sentence
Emma de Dunstanville,is also known as,Emma de Dunstanville,"Emma de Dunstanville ( 1200- 1264 ) , daughter of Guy V de Laval, or alternatively with her mother , Emma de Dunstanville , who is sometimes also known as Emma of Anjou."
Empress Matilda,born on,c. 7 February 1102,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,died on,9 September 1167,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was one of claimants to English throne,Anarchy,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was one of claimants to English throne,civil war,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was one of claimants to English throne,civil war known as Anarchy,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,died on,1167,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,also known as,Empress Maude,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was daughter of,King Henry I of England,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,married to,future Holy Roman Emperor Henry V,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,traveled with,future Holy Roman Emperor Henry V,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,acted as,imperial regent in Italy,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,husband died in,1125,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,brother,William Adelin,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
William Adelin,died in,1120,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Emperor Henry V,had no children,1125,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Emperor Henry V,died in,1125,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was recalled to,Normandy,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,father,King Henry I of England,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,married to,Geoffrey of Anjou,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,faced opposition from,Anglo-Norman barons,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,was heir by,her father,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,court swore oath of loyalty to,her successors,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,decision not popular in,Anglo-Norman court,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Empress Matilda,died in,1167,"Empress Matilda ( c. 7 February 110210 September 1167 ) , also known as Empress Maude , was one of claimants to English throne during civil war known as Anarchy ."
Henry I,had no further legitimate children nominated,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,was made heir by Henry I's court,Henry I,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Henry I,died in 1135,Henry I,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,crossed to England to take kingdom by force in 1139,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,supported by her half-brother Robert of Gloucester,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,supported by her uncle King David I of Scotland,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda's forces,captured Stephen at Battle of Lincoln in 1141,Matilda's forces,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,attempted to be crowned at Westminster in 1141,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,was titled Lady of English after retreat from Westminster,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Robert of Gloucester,was captured following Rout of Winchester in 1141,Robert of Gloucester,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,agreed to exchange Robert of Gloucester for Stephen,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,became trapped in Oxford Castle by Stephen's forces in winter,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Matilda,escaped across frozen River Isis at night to avoid capture,Matilda,"Henry I had no further legitimate children nominated Matilda as his heir , making his court swear oath of loyalty to her her successors , decision was not popular in Anglo-Norman court ."
Robert,was captured following,Rout of Winchester in 1141,"Robert was captured following Rout of Winchester in 1141 , Matilda agreed to exchange him for Stephen . Matilda became trapped in Oxford Castle by Stephens forces that winter , was forced to escape across frozen River Isis at night to avoid capture . The war degenerated into stalemate , with Matilda controlling much of south-west of England , Stephen south-east Midlands . Large parts of rest of country were in hands of local , independent barons . Matilda returned to Normandy , now in hands of her husband , in 1148 , leaving her eldest son to continue campaign in England he eventually succeeded to throne as Henry II in 1154 , forming Angevin Empire . She settled her court near Rouen for rest of her life concerned herself with administration of Normandy , acting on her sons behalf when necessary . Particularly in early years of her sons reign , she provided political advice attempted to mediate during Becket controversy . She worked extensively with Church , founding Cistercian monasteries , was known for her piety . She was buried under high altar at Bec Abbey after her death in 1167 ."
Matilda,agreed to exchange,Robert for Stephen,"Robert was captured following Rout of Winchester in 1141 , Matilda agreed to exchange him for Stephen . Matilda became trapped in Oxford Castle by Stephens forces that winter , was forced to escape across frozen River Isis at night to avoid capture . The war degenerated into stalemate , with Matilda controlling much of south-west of England , Stephen south-east Midlands . Large parts of rest of country were in hands of local , independent barons . Matilda returned to Normandy , now in hands of her husband , in 1148 , leaving her eldest son to continue campaign in England he eventually succeeded to throne as Henry II in 1154 , forming Angevin Empire . She settled her court near Rouen for rest of her life concerned herself with administration of Normandy , acting on her sons behalf when necessary . Particularly in early years of her sons reign , she provided political advice attempted to mediate during Becket controversy . She worked extensively with Church , founding Cistercian monasteries , was known for her piety . She was buried under high altar at Bec Abbey after her death in 1167 ."
